,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
2090,l6xgrxp5,,WHO,Advance in human coronaviruses research of host interactions,,,,unk,"2019-novel coronavirus (2019-nCoV) is a highly pathogenic human CoV that first emerged in Wuhan in 2019.2019-nCoV has a zoonotic origin and poses a major threat to public health.However, little is known about the viral factors contributing to the high virulence of 2019-nCoV.Many animal viruses, including CoVs, encode proteins that interfere with host gene expression, including those involved in antiviral immune responses, and these viral proteins are often major virulence factors.Human coronaviruses (HCoVs) are known respiratory pathogens associated with a range of respiratory infection.In the past 17 years, the onset of 2019-nCoV, severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) have thrust HCoVs into spotlight of the research community due to their high pathogenicity in humans.The recent study of HCoVs-host interactions has contributed extensively to our understanding of infection pathogenesis of 2019-nCoV.This review discuss various host physiopathologic mechanism, such as apoptosis, innate immunity, endoplasmic reticulum (ER) stress response, mitogen-activated protein kinase (MAPK) pathway and nuclear factor kappa B (NF-&kappa;B) pathway that may be modulated by HCoVs and provides evidence for the intensive investigate of 2019-nCoV infection.",2020,"GU, Yanni; SHEN, Chaobin; CHEN, Tongxin",Chinese Journal of Applied Clinical Pediatrics,,#2275,FALSE,,
383,ad3tct5b,53326420d7eb607538a248c0da27d3b092f651e2,medrxiv,"Lessons learnt from 288 COVID-19 international cases: importations over time, effect of interventions, underdetection of imported cases",10.1101/2020.02.24.20027326,,,medrvix,"288 cases have been confirmed out of China from January 3 to February 13, 2020. We collected and synthesized all available information on these cases from official sources and media. We analyzed importations that were successfully isolated and those leading to onward transmission. We modeled their number over time, in relation to the origin of travel (Hubei province, other Chinese provinces, other countries) and interventions. We characterized importations timeline to assess the rapidity of isolation, and epidemiologically linked clusters to estimate the rate of detection. We found a rapid exponential growth of importations from Hubei, combined with a slower growth from the other areas. We predicted a rebound of importations from South East Asia in the upcoming weeks. Time from travel to detection has considerably decreased since the first importation, however 6 cases out of 10 were estimated to go undetected. Countries outside China should be prepared for the possible emergence of several undetected clusters of chains of local transmissions.",2/25/20,Francesco Pinotti; Laura Di Domenico; Ernesto Ortega; Marco Mancastroppa; Giulia Pullano; Eugenio Valdano; Pierre-Yves Boelle; Chiara Poletto; Vittoria Colizza,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.24.20027326
1614,chpxl0uw,,WHO,Coronavirus fulminant myocarditis saved with glucocorticoid and human immunoglobulin | European Heart Journal | Oxford Academic,10.1093/eurheartj/ehaa190,,32176300,unk,"A 37-year-old male patient was admitted to hospital on 14 January 2020, with chest pain and dyspnoea for 3 days, accompanied by diarrhoea. His blood pressure decreased to 80/50 mmHg. X-ray chest film showed significant enlargement of the heart (Panel A: cardiothoracic ratio 0.70). Chest computed tomography (CT) examination indicated pulmonary infection, enlarged heart, and pleural effusion (Panels B and C). The electrocardiogram suspected ST-segment elevation acute myocardial infarction (III, AVF ST-segment elevation, Panels D and E), an emergency CT coronary angiography revealed no coronary stenosis. Markers of myocardial injury were significantly elevated. Troponin T was more than 10 000 ng/L. Creatine kinase isoenzyme CKMB 112.9 ng/L. Natriuretic peptide BNP was up to 21 025 ng/L. Echocardiography revealed an enlarged heart and a marked decrease in ventricular systolic function [left ventricle (end diastolic) dimension (LV) 58 mm, left atrium dimension (LA) 39 mm, right ventricle dimension (RV) 25 mm, right atrium dimension (RA) 48 mm, left ventricular ejection fraction (LVEF) 27%, trace 2 mm pericardial effusion]. Sputum was examined for 13 viral nucleic acids related to respiratory tract. Only the coronavirus nucleic acid test was positive. All of the other 12 nucleic acid tests were negative, including influenza A virus, adenovirus, bocavirus, rhinovirus, influenza A(H1N1) 2009, parainfluenza, chlamydia, partial pulmonary virus, influenza B virus, mycoplasma pneumoniae, influenza A virus H3N2, and respiratory syncytial virus. The diagnosis of this patient is coronavirus fulminant myocarditis with cardiogenic shock and pulmonary infection.",3/16/20,"Hongde Hu, Fenglian Ma Xin Wei Yuan Fang",European Heart Journal,,#8772,FALSE,,https://doi.org/10.1093/eurheartj/ehaa190
2091,7nla9aji,,WHO,"First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020",,,,unk,"A cluster of pneumonia of unknown origin was identified in Wuhan, China, in December 2019 [1]. On 12 January 2020, Chinese authorities shared the sequence of a novel coronavirus termed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) isolated from some clustered cases [2]. Since then, the disease caused by SARS-CoV-2 has been named coronavirus disease 2019 (COVID-19). As at 21 February 2020, the virus had spread rapidly mostly within China but also to 28 other countries, including in the World Health Organization (WHO) European Region [3-5]. Here we describe the epidemiology of the first cases of COVID-19 in this region, excluding cases reported in the United Kingdom (UK), as at 21 February 2020. The study includes a comparison between cases detected among travellers from China and cases whose infection was acquired due to subsequent local transmission.%R doi:https://doi.org/10.2807/1560-7917.ES.2020.25.9.2000178",2020,"Spiteri, Gianfranco; Fielding, James; Diercke, Michaela; Campese, Christine; Enouf, Vincent; Gaymard, Alexandre; Bella, Antonino; Sognamiglio, Paola; Sierra Moros, Maria José; Riutort, Antonio Nicolau; Demina, Yulia V.; Mahieu, Romain; Broas, Markku; Bengnér, Malin; Buda, Silke; Schilling, Julia; Filleul, Laurent; Lepoutre, Agnès; Saura, Christine; Mailles, Alexandra; Levy-Bruhl, Daniel; Coignard, Bruno; Bernard-Stoecklin, Sibylle; Behillil, Sylvie; van der Werf, Sylvie; Valette, Martine; Lina, Bruno; Riccardo, Flavia; Nicastri, Emanuele; Casas, Inmaculada; Larrauri, Amparo; Salom Castell, Magdalena; Pozo, Francisco; Maksyutov, Rinat A.; Martin, Charlotte; Van Ranst, Marc; Bossuyt, Nathalie; Siira, Lotta; Sane, Jussi; Tegmark-Wisell, Karin; Palmérus, Maria; Broberg, Eeva K.; Beauté, Julien; Jorgensen, Pernille; Bundle, Nick; Pereyaslov, Dmitriy; Adlhoch, Cornelia; Pukkila, Jukka; Pebody, Richard; Olsen, Sonja; Ciancio, Bruno Christian",Eurosurveillance,,#4442,FALSE,,
1718,57iyq1gw,,WHO,Prepare for a pandemic,10.1136/bmj.m864,,,unk,"A covid-19 pandemic is highly likely, warns our editorialist, the epidemiologist John Watkins (doi:10.1136/bmj.m810), and we need to plan now how to reconfigure care services to cope with the looming escalation in demand. “We should plan on the assumption that most of the population may contract the virus with few or no long term effects,” he writes, “while harnessing vital secondary healthcare resources to treat the small percentage of people who become seriously ill.”As at Tuesday 3 March the UK had confirmed 51 cases of infection (doi: …",3/5/20,"Hurley, Richard",BMJ,2091233622,#4551,FALSE,,https://doi.org/10.1136/bmj.m864
1773,8eg8zqnw,,WHO,COVID-19: What Can We Learn From Stories From the Trenches?,10.1177/0846537120913497,,,unk,"A few reports have been published recently highlighting the role of chest computed tomography (CT) in diagnosis of COVID-19.2-4 Chest CT demonstrates a high sensitivity in patients with COVID-19. The CT imaging findings in COVID-19 are similar to features of other viral pneumonias and familiar to imagers.2-4 The speed of acquisition of CT and timely reporting by radiologists will help our ED colleagues to make a diagnosis of COVID-19 within minutes, not hours or days. Nevertheless, this outbreak raises important clinical questions relevant to radiological community.",3/4/20,"Patlas, Michael N.",Canadian Association of Radiologists Journal,2248885652,#3889,FALSE,,https://doi.org/10.1177/0846537120913497
1266,5lb2u8vb,,CZI,Editor's Note,10.14789/jmj.2020.66.1-en,,,cc-by,"A few years ago, when I wrote an editorial note, there was an unseasonable heavy snowfall,making the city of Tokyo havoc. This time the cause is the 2019 Novel Coronavirus (SARS-CoV-2).Infection by this novel virus had become grave news involving the whole world by the end ofJanuary. Now, as I am writing this, there is no cure, and the number of patients is also increasingday by day in Japan. Masks are out of stock throughout the city, and I have heard that people queueup for few masks in front of drug stores from early in the morning.The effectiveness of wearing a mask to prevent infection is limited. What is the cause of such asituation? As a matter of fact, in an epidemic of infection, the most serious problem is not infectionitself, but unscientific rumors and people who are easily swayed by them. Avoidance of vaccinationby insisting that vaccines have no effect or that they are harmful to the body is fundamentally thesame. The anti-vaccination movement still exists despite the evidence-based medicine, and thereare concerns about its expansion. However, even with scientific evidence, it is not easy to persuadeanti-vaccinationists, and this is the moment, when we, academia, feel powerless.Nevertheless, we should not be discouraged. The mission of academia is to conduct reliableresearch. Reliable data are obtained from such research, and scientific solution of the problemssteadily proceed. Based on the outcomes of these data and solutions, scientists themselves shouldcreate the methods of advocacy and persuasion or rely on experts in this area.However, scientists should solve the problems with science. Academic journals such as theJuntendo Medical Journal may be of marked significance in this regard. It is important to get theexcellent findings, but even negative data need to be published somewhere and shared amongvarious people, whenever they lead to academically important questions. Such data promote thediscussions, deeper research perspectives, and new themes. Submitting articles in English has beenestablished in the Juntendo Medical Journal. The journal will achieve further progress in the nearfuture.Toshihiro MitaDepartment of Tropical Medicine and ParasitologyCall for feature article proposalsTo introduce the latest medical findings, Juntendo Medical Journal features a specific focus areafor each issue. We would like to request all our readers to address any suggestions or proposals forsuitable focus areas to our editorial office.",2020,,Juntendo Medical Journal,2887248870,#3229,FALSE,comm_use_subset,https://doi.org/10.14789/jmj.2020.66.1-en
1446,8f2r1d14,,WHO,Practical recommendations for critical care and anesthesiology teams caring for novel coronavirus (2019-nCoV) patients,10.1007/s12630-020-01591-x,,32052373,unk,"A global health emergency has been declared by the World Health Organization as the 2019-nCoV outbreak spreads across the world, with confirmed patients in Canada. Patients infected with 2019-nCoV are at risk for developing respiratory failure and requiring admission to critical care units. While providing optimal treatment for these patients, careful execution of infection control measures is necessary to prevent nosocomial transmission to other patients and to healthcare workers providing care. Although the exact mechanisms of transmission are currently unclear, human-to-human transmission can occur, and the risk of airborne spread during aerosol-generating medical procedures remains a concern in specific circumstances. This paper summarizes important considerations regarding patient screening, environmental controls, personal protective equipment, resuscitation measures (including intubation), and critical care unit operations planning as we prepare for the possibility of new imported cases or local outbreaks of 2019-nCoV. Although understanding of the 2019-nCoV virus is evolving, lessons learned from prior infectious disease challenges such as Severe Acute Respiratory Syndrome will hopefully improve our state of readiness regardless of the number of cases we eventually manage in Canada.",2/12/20,"Wax, Randy S.; Christian, Michael D.",Canadian Journal of Anesthesia/Journal canadien d'anesthésie,3005561939,#874,FALSE,,https://doi.org/10.1007/s12630-020-01591-x
2092,ec8lpgl3,,WHO,Scientists ‘strongly condemn’ rumors and conspiracy theories about origin of coronavirus outbreak | Science | AAAS,,,,unk,"A group of 27 prominent public health scientists from outside China is pushing back against a steady stream of stories and even a scientific paper suggesting a laboratory in Wuhan, China, may be the origin of the outbreak of COVID-19. “The rapid, open, and transparent sharing of data on this outbreak is now being threatened by rumours and misinformation around its origins,” the scientists, from nine countries, write in a statement published online by The Lancet yesterday",2020,"Cohen, Jon",,,#1320,FALSE,,
634,wpywh8c9,,biorxiv,A proposal of alternative primers for the ARTIC Network's multiplex PCR to improve coverage of SARS-CoV-2 genome sequencing,10.1101/2020.03.10.985150,,,biorxiv,"A group of biologists, ARTIC Network, has proposed a multiplexed PCR primer set for whole-genome analysis of the novel coronavirus, SARS-CoV-2, soon after the start of COVID-19 epidemics was realized. The primer set was adapted by many researchers worldwide and has already contributed to the high-quality and prompt genome epidemiology of this rapidly spreading viral disease. We have also seen the great performance of their primer set and protocol; the primer set amplifies all desired 98 PCR amplicons with fairly small amplification bias from clinical samples with relatively high viral load. However, we also observed an acute drop of reads derived from some amplicons especially amplicon 18 and 76 in ""pool 2"" as a sample's viral load decreases. We suspected this low coverage issue was due to dimer formation between primers targeting those two amplicons. Indeed, replacement of just one of those primers, nCoV-2019_76_RIGHT, to a newly designed primer resulted in a drastic improvement of coverages at both regions targeted by the amplicons 18 and 76. Given this result, we further replaced four primers in ""pool 1"" with each respective alternative. These modifications also improved coverage in eight amplicons particularly in samples with low viral load. The results of our experiments clearly indicate that primer dimer formation is one critical cause of coverage bias in ARTIC protocol. Importantly, some of the problematic primers are detectable by observing primer dimers in raw NGS sequence reads and replacing them with alternatives as shown in this study. We expect a continuous improvement of the ARTIC primer set will extend the limit for completion of SARS-CoV-2 genomes to samples with lower viral load, that supports better genomic epidemiology and mitigation of spread of this pathogen.",3/10/20,Kentaro Itokawa; Tsuyoshi Sekizuka; Masanori Hashino; Rina Tanaka; Makoto Kuroda,,,,FALSE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.10.985150
2093,bc1huphj,,WHO,Paying close attention to diabetic patients with novel coronavirus infection,,,,unk,"A major infectious disease associated with severe acute respiratory syndrome coronavirus 2 (2019-nCoV)has emerged in Wuhan, China. Current clinical studies have shown that diabetes is commonly complicated with this disorder. Hyperglycemia is a risk factor for severe infection, and also an independent risk factor for the progression of mild infection to severe infection. This may be related to the immune deficiency of diabetics. Besides, virus may cause direct damage to the islets and induce acute stress hyperglycemia. Special attention should be payed to diabetics with 2019-nCoV infection. Systemic steroid hormones should be used with particular caution in patients with 2019-nCoV infection, especially those with diabetes.",2020,"LIU, Bing",Chinese Journal of Endocrinology and Metabolism,,#6590,FALSE,,
2449,402ls2aq,5ae641a5bf24b53a895f5f2f04254cc00e909c08,PMC,Species-independent detection of RNA virus by representational difference analysis using non-ribosomal hexanucleotides for reverse transcription,10.1093/nar/gni064,PMC1074749,15817564,no-cc,"A method for the isolation of genomic fragments of RNA virus based on cDNA representational difference analysis (cDNA RDA) was developed. cDNA RDA has been applied for the subtraction of poly(A)(+) RNAs but not for poly(A)(−) RNAs, such as RNA virus genomes, owing to the vast quantity of ribosomal RNAs. We constructed primers for inefficient reverse transcription of ribosomal sequences based on the distribution analysis of hexanucleotide patterns in ribosomal RNA. The analysis revealed that distributions of hexanucleotide patterns in ribosomal RNA and virus genome were different. We constructed 96 hexanucleotides (non-ribosomal hexanucleotides) and used them as mixed primers for reverse transcription of cDNA RDA. A synchronous analysis of hexanucleotide patterns in known viral sequences showed that all the known genomic-size viral sequences include non-ribosomal hexanucleotides. In a model experiment, when non-ribosomal hexanucleotides were used as primers, in vitro transcribed plasmid RNA was efficiently reverse transcribed when compared with ribosomal RNA of rat cells. Using non-ribosomal primers, the cDNA fragments of severe acute respiratory syndrome coronavirus and bovine parainfluenza virus 3 were efficiently amplified by subtracting the cDNA amplicons derived from uninfected cells from those that were derived from virus-infected cells. The results suggest that cDNA RDA with non-ribosomal primers can be used for species-independent detection of viruses, including new viruses.",4/7/05,"Endoh, Daiji; Mizutani, Tetsuya; Kirisawa, Rikio; Maki, Yoshiyuki; Saito, Hidetoshi; Kon, Yasuhiro; Morikawa, Shigeru; Hayashi, Masanobu",Nucleic Acids Res,,,TRUE,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1074749/
